,comment,Validated_Labels,Predicted_labels
0,i think there needs to be an expansion. one quarter of counseling is not enough to develop a relationship with a therapist. ,dissatisfied,dissatisfied
1,not too sure. don't have a ton of exposure to on campus counseling ,neutral,neutral
2,i have looked at group counseling but they are still remote. i am tired of remote and don't want it simple because it's remote. if it were in person i would definitely go to group therapy.,dissatisfied,dissatisfied
3,"not much in my opinion i’d working well. i think the diversity needs to increase for the counselors available, there really needs to be an increase in counselors too since scheduling is so limited and it could take weeks to get an appointment.",dissatisfied,dissatisfied
4,"the group sessions for stress relief and meditation has worked great for me.
i believe more individual telehealth options would be great",satisfied,mixed
5,"i am a fully online student and i wish i was able to use more telehealth services
",dissatisfied,dissatisfied
6,"access to counselors is simple (from my experience), but more counselors are needed for general outreach before students are in crisis.",mixed,mixed
7,the counseling center is just burdened with the amount of students that need help. it's simply the volume of students that need help. the services aren't even that bad if they were just able to reach more people. ,dissatisfied,dissatisfied
8,"i believe that for many, the addition of having 6 1 hour therapy sessions is helpful for short term help",satisfied,satisfied
9,"many students base assumptions on all staff based off of how we interact with the more common employees. everyone who works at the front desk is very polite and helpful. but me and many of my (typically female-identifying) peers have felt unsafe, judged, and nervous around and with the nurses in bishop wellness center. they tell you rudely all of the things you could have done to avoid this problem rather than assisting us with the problem now. ",dissatisfied,dissatisfied
10,i have used the resources at the wellness center for my mental health even before the pandemic and i think it needs help especially sense what happened last semester ,dissatisfied,dissatisfied
11,the therapy sessions offered are not enough. they are always full and i am unable to ever book a session when i need it most. ,dissatisfied,dissatisfied
12,i’m not sure of any sort of mental health services my school offers,neutral,dissatisfied
13,more checking in on students’ mental health and easy access to resources,dissatisfied,dissatisfied
14,our therapists need to be more responsible and make more of an effort to reach out to their patients ,dissatisfied,dissatisfied
15,"i would not describe any of it as working well. tedium and bureaucracy abound. six complementary sessions with a provider per academic year isn't enough. general poor communication/knowledge of what's available. met with a case manager once who quit or retired (unclear which) before a second meeting so i had to do the bulk of the intake stuff again. that case manager referred me to services that a therapist providing services through caps didn't know about. all this said, it's not clear to me if these problems are unique to my college, because as best i can tell nobody working in mental health has a good picture of the field. ",dissatisfied,dissatisfied
16,they do a good job providing training with where to access and how to provide service.,satisfied,satisfied
17,"well: constantly reminding students of caps, focus on students with poor mental health, lots of opportunities to seek help
poor: limited focus on maintaining good mental health in students",mixed,satisfied
18,"what’s working wel is they’re heavily connected with external sources. however, i do think they need to hire more psychiatrists so that people can quickly go through real treatment and be prescribed medication. ",mixed,mixed
19,"last semester, there was a time where dogs were brought to the library to de-stress around finals. i thought it was nice, but there should be things open for the entire semester/year and be open for everyone, without anything possibly restricting them, such as a dog allergy ",mixed,dissatisfied
20,able to register for a counseling session and get an appt within 7-10 days,satisfied,satisfied
21,one on one counseling was working well. however this support was short term. i did it for a semester but there is not many options for support for me on campus after that semester.,mixed,dissatisfied
22,"i have not visited or experienced any of the facilities.
i think caps and the animals are great.",satisfied,mixed
23,i think there are some good options but they are not advertised well at all,mixed,neutral
24,"i haven't went to mental-health counseling because i take care of my mental health alone majority of the time, but i would say depression and anxiety are some major aspects of mental health that needs more attention that it already has.",neutral,satisfied
25,i feel like the college in general is lacking. they advertise they care but i don’t feel like it’s genuine.,dissatisfied,mixed
26,i think it’s a great start to have free sessions but there shouldn’t be a cap,dissatisfied,neutral
27,unfortunately i am not using any of the mental health/wellness services provided.,neutral,satisfied
28,"though i have never attended, i appreciate the let's talk drop-in sessions available through my school. what might need more attention is the availability of counseling sessions, as i remember when i tried to make an appointment back in 2020 there were none available.",mixed,dissatisfied
29,"osu’s counseling and consultation services is a complete mess. it is advertised as a therapy option, yet students in crisis aren’t able to get in for months, and the help is near useless",dissatisfied,dissatisfied
30,"caps is kinda diverse, but we could use more people because they're so slow",mixed,mixed
31,not sure i can answer this question as i have not asked for any help. ,neutral,mixed
32,i think the counselors are good but a online thing would help as well.,mixed,dissatisfied
33,doing more action and spending money rather than emails saying genera statements,dissatisfied,satisfied
34,i think there needs to be more diverse psychologists that can help students. also workshops that should be required for mental health,dissatisfied,neutral
35,i have never seen any sort of advertising about available mental health resources.,dissatisfied,mixed
36,"i think everything is perfect, bucks does a great job regarding mental health.",satisfied,dissatisfied
37,"i have never used any services at rctc, i seek help elsewhere.",neutral,mixed
38,we need more zoom meetings about stress and how to handle school,dissatisfied,dissatisfied
39,health services at cmu are temporary fixes for the stress that cmu’s workload puts on its students,dissatisfied,neutral
40,"i'm not sure what mental health or wellness services/supports are provided by my college but in general, i've heard that the quality of such services (mental health/wellness) isn't very good quality nor long-lasting. i think the overall sector of it in uga has to be improved and more funded.",dissatisfied,dissatisfied
41,"i think some of the counselors are okay at what they do. they're not amazing, but i definitely feel comfortable with them ",satisfied,neutral
42,i have not seen anything about them having any mental health help. ,dissatisfied,dissatisfied
43,i think the triage needs more attention. it seems excessive to wait at least 45 minutes to get help. but their referral plan has excellent rates if you have school insurance. ,mixed,neutral
44,i do not know because i have never had mental health issues.,neutral,dissatisfied
45,"the caps center and black bruin center is working well at ucla to help support students with resources, activities, and counselors regarding mental health.",satisfied,dissatisfied
46,in person counseling seems to be working well. the availability and the options for telehealth need to be expanded. ,mixed,mixed
47,i think my college is doing alright when it comes to mental health wellness.,satisfied,dissatisfied
48,counseling as in just hearing about what student had to say really worked well for me personally,satisfied,satisfied
49,they shouldn’t set limits on how many weeks you can see a counselor just cuz staff is limited.,dissatisfied,mixed
50,"an aspect of mental health that needs improvement is that mentally ill people sometimes aren’t aware that they are unwell, and may not even consider they need help. others that are aware are presented with hindrance stressors, like jumping through a bunch of hoops just to schedule an appointment. it was through a conversation with my advisor (which took me weeks to meet with because i was avoidant) to get an appointment scheduled with someone at sas. i thought they were my counselor, but they only sent me resources to contact a counselor. which is better than nothing. i do not want to complain. 

i do plan on meeting with a counselor because i’m willing to do whatever at this point to get out of this point of my life, however i don’t feel like making an appointment. i haven’t been able to complete my coursework; why would i prioritize scheduling appointments with counselors? 

so i feel as if the campus community could benefit from easy access to a counselor. i think every human being needs to attend counseling, anyways. the challenge would be to make it not too easy to schedule, otherwise it might be overused, and inefficient. ",dissatisfied,mixed
51,counselors are always available. sometimes it is hard for students to reach out first.,mixed,satisfied
52,sails department for special needs students and online students are a great asset for asu and more attention is needed to maintain good standards with them,mixed,mixed
53,i think there needs to be more options for online students. i get all the info about on campus options but i’m not ever on campus - i’m an out of state student. ,dissatisfied,mixed
54,"i can't say i've used any services personally, but i know there's always signs and posters for the cougar counseling and the texting line thing that they have, and that seems good. ",satisfied,dissatisfied
55,"i haven’t interacted with my schools mental health resources; however, they’ve generally done well in terms to providing physical health resources like fitness classes",satisfied,satisfied
56,seans house is nice they have counselors and support animals i think there just needs to be more on site counseling and also let students know where that is,mixed,dissatisfied
57,i am not sure. i don’t feel like i am getting any help with my mental health,dissatisfied,mixed
58,the counseling on-campus helps students out everyday. fiu should focus more on online counseling because the pandemic forces students to stay home,mixed,mixed
59,"i’m an online student, and i haven’t heard too much about many mental health services offered. i don’t know if it’s because i am an online student and it just isn’t as available to online students compared to on-campus students, but i think there should be options to have video appointments, and maybe have those professionals be able to look into referrals to professionals in that student’s area, so they can receive local help as well. ",dissatisfied,dissatisfied
60,i am not really sure since i use my own mental health and wellness services.,neutral,dissatisfied
61,there needs to be more and faster availability to counseling on campus ,dissatisfied,dissatisfied
62,i have not attempted to use any mental health resource because i am primarily an online student ,neutral,dissatisfied
63,"the fact that i know multiple people who were told they needed more support than mit could provide and then just completely ghosted is absolutely abhorrent. if someone so desperately needs help that the counseling services at the school aren't able to provide it, they absolutely should be doing everything in their power to connect that person with off campus resources that can help them immediately. ",dissatisfied,dissatisfied
64,"there seem to be many services, but many of the people running them are students who aren't sure of what they're doing.",dissatisfied,dissatisfied
65,i feel as if there desperately needs to be more diversity on the counselling team as well as more response to student input. i feel like certain counsellors (jan park) are very harmful to students and simply need to be checked. i think the college does a good job of providing a little bit to everyone but this spreads it thin.,dissatisfied,mixed
66,none really if you reach out to counseling and have problems that can’t be fixed in 2 talks you are told you have to many problems and no one is going to have problems that can be fixed fast if you are going for depression or anxiety bc that’s just not how it works,dissatisfied,neutral
67,none i’ve been to health counselling several times and the counsellor always ends up leaving cwru after a year. or i just don’t match well with the counsellor ,dissatisfied,dissatisfied
68,"i have never used counseling services at asu; however, i have highly considered giving it a try. i would like more attention on being physically ""at peace"" (i.e. coming to terms with how you look, accepting your body).",neutral,mixed
69,i dont use them much so i dont know which are working well. they need more attention to allowing more sessions for students,dissatisfied,satisfied
70,there are not enough counselors and i have heard so many stories (including my own experience) where friends have wanted to go to counseling services and they are told they have to wait months to book an appointment,dissatisfied,neutral
71,"i honestly do not know, as all of my classes became online only. ive just been at home ",neutral,satisfied
72,"most of my experiences with these services were in 2019, when i was really struggling with depression and anxiety. i was told that there weren't enough resources to really help me, and to try and find a therapist off campus. i feel as though umass does a great job advertising, but it's hard to know that you'll get actual support when you need it",dissatisfied,mixed
73,students who struggle need a safe and easy way to reach out,dissatisfied,dissatisfied
74,there needs to be a way to streamline classroom help for mental health issues.,dissatisfied,mixed
75,i haven’t utilized on-campus services so i don’t know what’s working or what isn’t.,neutral,neutral
76,the attention and awareness of mental health is working well. they destigmatize it,satisfied,satisfied
77,"i suppose the on campus counseling when i was struggling in school during the fall 2021 semester, not related to the pandemic ",satisfied,satisfied
78,"i think the school at least has some sort of staff that can help students, but i'm very hesitant to ever use those resources since of all the bad things i have heard about it. i've heard that the staff isn't very attentive and doesn't really listen to students/clients and people's experiences just overall haven't sounded that good. there's a quantity of resources, but it seems like the quality of those resources isn't actually that helpful for those who are struggling.",dissatisfied,dissatisfied
79,"generally the services are okay, but they gave been getting worse over the past few years",dissatisfied,mixed
80,cu’s mental health “department” is a shit show. they don’t care about students. they made a promise to bring on 20 new providers and actually fired 10 existing ones instead. when i reached my lowest low i asked for therapy twice a week instead of once and they discontinued my care entirely because of the request. the director did a coverup job and tried to conceal my health records that i am legally obligated to. it took two months for me to finally have all of my health documents in my possession and i had to use a third party to force her to give me the information i was entitled to. ,dissatisfied,dissatisfied
81,"i'm not to sure as i have not gone for help, but from what i have heard, they are quick to diagnose kids with adhd and give them medication. some kids' problems are more deeply rooted and greater than adhd",mixed,dissatisfied
82,i have a coach that helps me set goals and that works pretty well,satisfied,satisfied
83,i am not aware of the mental health service that my institution provides.,neutral,dissatisfied
84,"need more scheduled communication, perhaps group sessions, people who are going through the same thing ",dissatisfied,dissatisfied
85,not sure. the counseling center worked well for me prior to covid when i attended.,satisfied,neutral
86,there’s not any well provided they’re hard to access and not useful ,dissatisfied,dissatisfied
87,i think it should be free for all students who want it. at least 10 sessions with a mental health professional should be available to us each school year.,dissatisfied,dissatisfied
88,"i’ve liked my caps counselor a lot, but i think that the college staff in general should do a better job addressing mental health. ",mixed,mixed
89,"we have a program called caps but hardly anyone knows it exists, and it is very hard to get an appointment.",dissatisfied,dissatisfied
90,the on-campus mental health center frequently organizes events to spread awareness of certain mental health issues.,satisfied,satisfied
91,"each aggie matters is a great program i've seen in social media and at therapy fluffy events, but i don't know what it has to offer beyond that",mixed,mixed
92,counselors have been a great help in assisting student about issues and stressors. athletes need more attention when it comes to mental health ,mixed,mixed
93,"all aspects have worked great for me, i think more diversity in counseling staff would be helpful. ",mixed,satisfied
94,i think the university does a good job advertising different support groups but i think that there should be more access to counselors. i have heard that it is difficult to find an appointment,mixed,mixed
95,"i know that many (or all) professors include mental health help information in the course syllabus. however, it is not usually the first place one may think to get the resource information.",dissatisfied,mixed
96,"there is a mental health center, however i greatly urge and ask for there to be a way to sign up for appointments online and not solely through telephone calls, as those too are very stressful for some people and makes getting an appointment a daunting task.",dissatisfied,dissatisfied
97,"we have a varieties of counseling, but it seems intimidating for those not familiar with counseling.",mixed,dissatisfied
98,"i'm not familiar with services provided by the college.
overall, mental health needs to be the foremost important thing to be maintained for each student and staff member.",neutral,neutral
99,"there are definitely known resources like counselors and group therapy, but it is difficult to get appointments. ",dissatisfied,dissatisfied
100,"brandeis is doing well in finding students who need support and recognizing their needs. it lacks however on how consistently and effectively it fulfills those needs. for example a student could reach out or be reached out to by the bcc to start therapy once a week, but that therapy may not actually help the student or give them the advice they need. ",mixed,dissatisfied
101,"i think that having counseling students intern as counselors is helpful because there is less intimidation when talking to them, but on the other side of that i feel as thought they may not be entirely qualified to help some people",mixed,mixed
102,"counselors need to be more diverse, as i've already mentioned.
my visits to caps in fall 2019 were practically useless although i was on the brink of a mental health disaster in my life. thankfully, i fixed my problems with the help of friends, family, and even strangers over the semester i took off in fall 2020. this was only because those people truly understood my non-generic problems and were willing to give me time. they were willing to walk alongside me with my every day activities.

maybe matching students who can help each other and both can actually give time of the day to each other might be also a good solution.

another essential is having more counselors. i think being told to come back 14 days later is an absolute red flag. ",dissatisfied,dissatisfied
103,"not really sure, the way they go about mental health services just doesn’t motivate me to use them",dissatisfied,dissatisfied
104,"i only made appointments but they never offered help, so i don't know ",dissatisfied,dissatisfied
105,"on site counselors

activities scheduled throughout week like therapy dogs on campus",satisfied,satisfied
106,"there are mental health resources widely available, which is extremely beneficial. however, there is such a long waitlist for counseling sessions, so my fear is that people who need urgent help are not going to receive it.",mixed,mixed
107,"we get free therapy, but the therapists are known to be really bad and overwhelmed and unavailable.",dissatisfied,dissatisfied
108,the random activities where it's like free painting bring me temporary seratonin,satisfied,satisfied
109,the counseling center is way over booked. students either can’t get an appointment or they only get like one or two each semester. this is something that many people need consistency with. the college needs more funding so that they can hire additional mental health counselors and therapists.,dissatisfied,dissatisfied
110,"caps work okay, but office hours or open hours for students to get mental health help would be useful ",dissatisfied,dissatisfied
111,we offer a lot of resources but it's unclear how helpful they are.,mixed,dissatisfied
112,none of them. we only have one counseling office and it was so backed up that it took me a month to even get a triage/meeting and they simply forgot to send me the email for the triage. ,dissatisfied,dissatisfied
113,"i appreciate that they’re really trying to tackle the mental health issue, but it’s telling that it only got real attention after the tragedies last year. but many of the things they promote are ineffective. the student wellness center almost only does yoga, as if yoga is the one and only way to get better mental health",dissatisfied,dissatisfied
114,theres a lot of resources which is nice but the biggest issue is a high turn over rate of college counselors which lessens wanting to seek help on campus and professors not being lenient/understand nag ,dissatisfied,dissatisfied
115,the counseling centers are so busy that no one can get in. there is also a lot of students who don't know about them. ,dissatisfied,dissatisfied
116,"my teachers make sure that the students know what resources are available which is good. there need to be more people available to talk about feelings and current events rather than just focusing on school schedules. particularly for disabled students, poc, and other disadvantaged students. typically our counselors focus on our school work, rather than doing something like cbt. ",mixed,dissatisfied
117,open to meeting with different counselors if one counselor does not work out,dissatisfied,dissatisfied
118,having therapy dogs is very calming during stressful situations. i think more engaging options need to be available.,mixed,mixed
119,i am not sure what aspects are working well because i do not partake.,neutral,neutral
120,"i think caps could be improved on. i didn't feel i really connected with my counselor when i had her. she didn't really remember things about my case and asked me the same questions week to week. if there were maybe more counselors who could connect more with their clients, i think it would be much more helpful.",dissatisfied,dissatisfied
121,"therapy dogs seem to be quite popular, but the counseling provided by caps needs to be more accessible to students for longer periods of time before recommending off-campus help.",dissatisfied,dissatisfied
122,i believe the therapists being offered are working well because although i haven’t attended any therapy session i’ve had friends who have and they had positive things to say about it. ,satisfied,satisfied
123,"i have not used my college’s mental health services, so i do not feel qualified to answer this question. ",neutral,neutral
124,my experience with the colleges mental health services was perfect i can't really suggest anything to improve it beyond what i experienced. however that does not mean there is not room for improvement somewhere.,satisfied,satisfied
125,i would say currently they have done a great job in making it known services are available and how to use said services. i would say there should be a way for them to focus past issues of anxiety and depression.,mixed,mixed
126,"i'm not sure about college supported services, but i think the accessibility of therapy for college students is not the best. coupled with insurance...not great.",dissatisfied,dissatisfied
127,counseling works well. more attention is needed in reducing stress for students,mixed,mixed
128,what works well is the events they plan every once in a while that bring awareness to mental health. what doesn't work well is the lack of availability of in person counseling.,mixed,mixed
129,i have yet to use services provided by the school. an anonymous hotline could be a good idea ,dissatisfied,dissatisfied
130,i haven’t used campus services because i get confused about the extent of the services provided. and word of mouth from other students about their poor experiences made me doubt campus services. ,dissatisfied,dissatisfied
131,"i have a few friends who have regular or semi-regular counseling meetings. they seem very grateful to have those sessions and look forward to the days they can talk things out with a professional on campus. i guess as someone who is interested in starting counseling, i don’t know where to begin so that may be something they could communicate more to both new and attending students.",mixed,mixed
132,"none of them are working well, the mental health advisors do not take the mental health of students seriously",dissatisfied,dissatisfied
133,"caps short term counseling does not work that well. some student could much benefit from a longer client-therapist relationship but don’t have the time, money, or knowledge of finding a therapist from outside the university. caps referral service also was terrible and didn’t help me. the quality of caps therapists were hit or miss—i’ve tried over 4 different people. the university also doesn’t prioritize student mental health in general, having a “wellness week” does nothing in comparison to actually having policies regarding attendance, longer and/or more frequent breaks, not letting professors assign work during breaks, etc. ",dissatisfied,dissatisfied
134,the initial meetings with the wellness services were good. the process was quick to see what resources i needed at the time. the staff was very caring. now that i've moved on from that i feel like i still need help and i don't know how to ask again.,satisfied,mixed
135,"there are programs like one called wellness wednesdays that are dedicated to de-stressing by spending time working on arts and crafts and i like going to this one. but i think they are lacking in free physical fitness classes or groups. although my school encourages us to exercise, fitness classes are not free. ",mixed,mixed
136,i know students who would like someone to talk to but do not get replies back from the mental health services at school.,dissatisfied,dissatisfied
137,i think that the graduate students at winther are doing a great job!,satisfied,satisfied
138,"i do not use on campus services, i see a private therapist.",neutral,neutral
139,trying to make an appointment with on campus counseling was really hard for me ,dissatisfied,dissatisfied
140,all of it needs attention you don't know about it unless you accidentally stumble upon it ,dissatisfied,dissatisfied
141,therapy is working well for me while balancing taking care of my son,satisfied,satisfied
142,"the 24 hour line is good
need more staff, the wait i heard can be a bit long
i've never gone though",dissatisfied,mixed
143,i like that it exists. but i would love if it got expanded more to include a bigger staff to support more students. that way it would be more accessible ,dissatisfied,mixed
144,"we need so much more, it is impossible to get an appointment in an at all reasonable amount of time, and with mental health, this is a major issue and can be dangerous.",dissatisfied,dissatisfied
145,the in person counseling works best for me. it can improve on its promotion of services.,mixed,mixed
146,i am not sure because i have not used the resources here ,neutral,neutral
147,"i’m not sure, but we have emails being sent out but it’s hard for us to see them due to us needing to log in and look nf or them personally ",dissatisfied,dissatisfied
148,"working well: communication of help available

not working well: the help available. student issues feel like they are not often taken as seriously as they should be and the clinic is often booked far out, meaning a student in crisis now cannot get help.",mixed,dissatisfied
149,"need better understanding of student needs past anxiety, better informed of trauma ",dissatisfied,dissatisfied
150,24 hour nurse line. the time length to be connected needs to be imprived,mixed,mixed
151,"i have not personally used the mental health services on campus, but from what i have heard, they are helpful. the resources are definitely there. one of the biggest issues is that there is not enough staff, so people may not be able to immediately get in for help.",mixed,mixed
152,"the help seems alright, i personally don’t know how to fix it. but i think for most students it’s scary going in for the first time so somehow making it more normalized or welcoming could help",dissatisfied,mixed
153,college counseling seems to be working well. people should talk directly to me more if they really are concerned about me.,satisfied,mixed
154,"considering i haven’t used them very much but the few experiences i’ve had with it it’s been fairly ok. mainly going through zoom calls and such but i feel a bit disconnected when doing it through this. and yes i know that due to the pandemic these services needed to be done through that, i just don’t feel online resources are the way to go at least for me. ",dissatisfied,dissatisfied
155,i like how mental health services are available to us as ub students and my professors remind us that we can utilize them at any time,satisfied,satisfied
156,"the quality of caps is not great at mason, but it’s availability is good and is accessible ",mixed,mixed
157,honestly i don't know because i have not used the resources but pet therapy has been awesome.,satisfied,satisfied
158,the umass professors are actually terrible at being understanding or accommodating towards students struggling with mental health.,dissatisfied,dissatisfied
159,mental health action week and other purdue student government communications about mental health awareness and support.,satisfied,satisfied
160,"there are not enough therapists, and campus culture as a whole is pretty toxic when it comes to mental health. the response from the administration is not consistent across professors ",dissatisfied,dissatisfied
161,"success coaching has been good, but could be more personal and those questions of mental health could be asked without pressuring the student. a personal connection to feel like someone is on your side and there to listen really helped in those meetings.",dissatisfied,mixed
162,certain number of free therapy sessions are good but not enough. quality of therapists seem to be a hit or a miss. i seem to have lucked out.,mixed,mixed
163,counseling center works well. something that should be improved is having someone that can prescribe mental health medication ,dissatisfied,mixed
164,"we have $10 counseling services, but they fill up quickly. expanding this is key",mixed,dissatisfied
165,cwc counseling is really difficult to get into. drc works really well to help alleviate some of the stressors / pressures that school has on mental health.,mixed,mixed
166,i think that the thing that needs the most focus on is making sure that we have complete access to wellness services 24/7,dissatisfied,dissatisfied
167,there shouldn’t be a limit on the number of mental health service appointments a student can make ,dissatisfied,dissatisfied
168,the cheap sessions offered by grad students supervised by professionals seems like a really good way to give everyone access even if they dont have insurance or dont want their parents to know,satisfied,satisfied
169,i think the mental health groups (such as mindfulness) need more awareness ,dissatisfied,dissatisfied
