,comment,Validated_Labels,Predicted_labels
170,"i appreciate that the cook counseling center has multiple psychiatrists on staff who can prescribe/manage mental health medications (i've had bad experiences with some of the few off-campus providers before switching to cook), and the reception/nursing staff that help manage appointments and rx refill requests are quite helpful (especially nurse crystal)",satisfied,satisfied
171,mental health resources are good but needs reformment/better staffing/procedures lots of students have had a bad experience that give the resources a bad reputation ,dissatisfied,dissatisfied
172,i know we have the wellness center but i have not used it. from my friends that have i hear staffing is the biggest issue since there are so many students and not enough counselors.,dissatisfied,dissatisfied
173,"they do have counseling services, however they are hard to access. most professors are pretty welcoming but i think that if mental health days off were offered in the syllabi of classes that it would better to prioritize mental health. given the esteem of the university, there is a lot of pressure to thrive and a lot of pressure to compete with your peers, helping to reduce that pressure would also be helpful for a lot of students. ",dissatisfied,dissatisfied
174,"none.  the only thing i found helpful is that my professors were extremely understanding and very willing to help.  the university focuses on immediate problems and does not help support students with mental health issues long term.  the mental health services are abysmal and provide a one-size-fits-all approach to treating the wide variety in depression, anxiety, etc. experienced by students campus wide.",dissatisfied,dissatisfied
175,the presentation of possible services such as telehealth and the ease of use for mental health services is good. i think mental health check ups could be implemented through the semester more.,satisfied,mixed
176,"we had two days for drop-in counseling where students signed up to meet with a counselor for 20 minute sessions. this helped me learn about some resources for myself. i don't have much experience with other mental health wellness services at my university, but i have heard from other students that there can be long wait times to meet with counselors and they're more a short-term solution (e.g., referring students to other therapists). there is a new telehealth counseling service which i don't know much about but it seems to address these problems.",satisfied,"the student's response can be broken down as follows:

1.  **positive/satisfied:** ""we had two days for drop-in counseling... this helped me learn about some resources for myself."" this is a clear expression of satisfaction with a specific service.
2.  **dissatisfaction/suggestions for improvement:** ""i have heard from other students that there can be long wait times to meet with counselors and they're more a short-term solution (e.g., referring students to other therapists)."" these are specific criticisms and suggestions for enhancement, even if based on others' experiences.
3.  **neutral/positive outlook:** ""there is a new telehealth counseling service which i don't know much about but it seems to address these problems."" while not direct satisfaction with a currently working service, this statement acknowledges a new service that is perceived as a positive step to address the previously mentioned issues. it balances the prior negative feedback.

when weighing these points:
*   there's a clear positive statement about drop-in counseling.
*   there are two distinct negative points/suggestions for improvement (wait times, short-term solutions).
*   there's a forward-looking, slightly positive statement about a new service that *seems* to address the problems, acting as a counterweight to the negative points.

considering the positive personal experience, the identified areas for improvement, and the acknowledgement of a potential solution, the overall sentiment is a mix of satisfaction and dissatisfaction/suggestions that are approximately evenly split. the positive outlook on the telehealth service prevents it from being predominantly dissatisfied.

therefore, the most appropriate category is mixed.

**output:** mixed"
177,"on campus free therapy, makes it affordable and an option for everyone on campus. we need more therapists, though, because wait times are extremely long. also, a dedicated health and wellness building would be beneficial. ",mixed,mixed
178,"i used the telecounseling over the pandemic, but i wish i could go past my 4 visits with the addition of more staff at uw for therapy",dissatisfied,dissatisfied
179,i think it needs to more readily available not just like a 9-5 thing.,dissatisfied,dissatisfied
180,we need more education  programs on what to do when someone we know is facing a mental health issue,dissatisfied,dissatisfied
181,"caps is working pretty well for me, but i wish there was a way to feel more connected to other students in my effort to improve my mental health.",mixed,mixed
182,the appointment system for mental health services is bad. it doesn't represent the full range of services.,dissatisfied,dissatisfied
183,"one on one therapy works well, but the limitations on how many sessions of therapy are allowed are harmful.",mixed,mixed
184,"i like my college's wellness coaches, but availability is limited, which is a problem. ",mixed,mixed
185,i think the mental health department is good but just lacking funding and resources. it’s hard to schedule staff for counseling appointments and there also isn’t much importance placed on mental health in comparison to schoolwork.,dissatisfied,dissatisfied
186,"i have not reached out yet, personally, but i know some people who have had relatively good luck with caps counseling. ",satisfied,satisfied
187,i didn't really know where to go as an online only student,dissatisfied,dissatisfied
188,there needs to be more therapists available and their services need to be more accessible,dissatisfied,dissatisfied
189,i never used the campus resources so i could not say. i always see posters everywhere so i know that they exist.,neutral,neutral
190,a lot of students have benefitted from the student counseling center on campus. ,satisfied,satisfied
191,"there are some weekly events at the end of each week that provide activities for students to unwind, and sometimes little things throughout the week like giveaways that are nice. i wish there was more promotion of programs offered by the college in regards to mental health services, as i’ve heard mediocre things about those services",mixed,mixed
192,"i don't think i've experienced much of what ua has to offer in regard to mental health. as a part of trio, i do get asked and checked on but i wouldn't really consider it a mental health service. i think i see more aspects of stress and depression but i rarely ever see aspects of procrastination or lack of motivation in regards to mental health.",dissatisfied,dissatisfied
193,nothing is really working well. more flexibility when it comes to attendance and mental health. drs is helpful though,dissatisfied,dissatisfied
194,"the weekly counselor appointments. finding the right counselor for a student is important, and i don’t think my student health services has done that effort. ",dissatisfied,mixed
195,"i'm not sure, i've had trouble figuring out what resources online students have, and i can't find very much.",dissatisfied,dissatisfied
196,aspects that could be improved are availability. what they do well is crisis services.,mixed,mixed
197,"caps is a joke. they are difficult to get an appointment with, don't prescribe the medications i need, and don't care when i am struggling.",dissatisfied,dissatisfied
198,caps is an option that is good for students but it is limited in the help it can provide.,mixed,mixed
199,i have no idea. i have not looked into using any assistance ,neutral,neutral
200,they have a good group of therapists. but they don’t provide a ton of different areas of specialty. ,mixed,mixed
201,i think they need to do a better job advertising mental health services,dissatisfied,dissatisfied
202,"the let's talk hours are a good method of getting support when you haven't planned ahead, but can sometimes be busy enough that you can't get a chance to speak with a therapist. with the high demand for mental health support, it's just hard to schedule an appointment and find a time that works. having more counseling staff would be great. ",mixed,dissatisfied
203,"i like group therapies a lot, but we need more resources for getting help for serious mental illnesses.",mixed,mixed
204,more attention to anonymous survey or check in with students so they can receive advice what they can do about it,dissatisfied,dissatisfied
205,drop-in counselling is not bad. student disability services are fairly accessible as well. it would be nice if counselling was a little easier to understand how to get. ,mixed,mixed
206,"i have not personally used these services, but i see advertisements for them throughout the campus and assume these services do a good job",satisfied,neutral
207,"while it’s not talked about much in ways such as emails, professors often provide links to learn so i appreciate that.",mixed,mixed
208,from my experience everything is working well. i think they would benefit from having more people staffed to help the students.,mixed,mixed
209,i mean we have a counseling center which i guess is something but we are severely understaffed and it's very difficult to get an appointment during hours and impossible after business hours so you better not have any problems on the weekends i guess.,dissatisfied,dissatisfied
210,"when someone needs assistance, i want my college to focus on making sure that person receives the help they need. follow up is not the best. ",dissatisfied,dissatisfied
211,i think there should be more awareness and encouragement made for the resources. ,dissatisfied,dissatisfied
212,the referral process works well but it should be even easier and there should be less wait time. ,mixed,mixed
213,i would like more on-campus assistance regarding the diagnosis of mental illness or learning disabilities. i'm currently in the process of seeking a diagnosis and i wish there was more support on campus.,dissatisfied,dissatisfied
214,"i tried reaching out to campus mental health service online last semester, which was when i needed the most help but didnt get reply till now. so now i just tried to not rely on them and help myself",dissatisfied,dissatisfied
215,the undocumented student program runs individual and group sessions which supplements the times when you don't have an individual appointment. i think more staff should be hired so that they can reach more students on time. ,mixed,mixed
216,"i don't have an answer to the first question but for the second i think awareness of social factors' impact on mental health desperately needs to be addressed because mental health struggles are very different between financially secure straight white people vs. people of color, immigrants, poor people, lgbtq, etc. groups",dissatisfied,dissatisfied
217,there are some resources but i don’t really have time to interact with them nor do i want to. my professors high expectations stress me out the most,neutral,dissatisfied
218,i'm a oss student thus i do get more additional help from my disability and its has more a help tool and assistance in my college life,satisfied,satisfied
219,i didn’t know there were mental health services provided by laredo college ,neutral,dissatisfied
220,i’d say they just need to be more easily accessible and open to students.,dissatisfied,dissatisfied
221,"overall everyone was very understanding and were patient with me. however, the department only allows calls to set appointments which is not easy for those with mental health issues/concerns. having an email system would be much more inviting. ",mixed,dissatisfied
222,they only provide in person counseling which does not work for everyone’s schedule,dissatisfied,dissatisfied
223,"i love that there is an option of taking a mental health day as a student, it goes a long way. something that could be improved is the flexibility of the “mental health day” for students in a more fast paced programs(e.g nursing).",mixed,mixed
224,"the programs in place are excellent, but there is a cost that some students are unable to pay. mental health services should be free or more discounted.",mixed,mixed
225,need more counselors for the number of students. add a psychiatrist who can prescribe medications affordably. ,dissatisfied,dissatisfied
226,"i think the on campus one is working well, but we’re not doing anything for our outreach centers (ie parsons) ",mixed,mixed
227,general attention should be increased for he availability of mental health services on campus. ,dissatisfied,dissatisfied
228,the therapists need to be trained better to deal with current student issues.,dissatisfied,dissatisfied
229,"there is a lot of awareness about resources, but that awareness does not translate to accessibility. for example, the sails program is mentioned often by professors, tas, on-campus health staff, etc., but getting an appointment and getting accommodations approved takes weeks. ",dissatisfied,dissatisfied
230,"i think the programs and people running it are nice and supportive. even online meetings feel beneficial. however, there should be more ""marketing"" or increase awareness of these resources. they need to normalize it more so that people who need help won't be scared to reach out.",mixed,mixed
231,"i have received a medication evaluation and several counseling sessions, both of which seem to be going well. ",satisfied,satisfied
232,i do not really know as i have not utilized this service from asu. i do however know that asu does a good job at advertising counseling as an option for students. i have had several friends talk to me about their experiences with asu counseling and that it is lackluster and they redirected them to people outside of the campus. it would be nice if they were trained to be able to deal with all issues.,dissatisfied,dissatisfied
233,"i think the on-call talks with social workers to get service or talk about the current struggles i may have at the moment. but, i wish there is more availability like a wider span of times and days. ",mixed,mixed
234,"i have not used any of the college services so i am unsure, but i do see signs around the college about counseling and where to find mental health help.",neutral,neutral
235,i think the overall attitude towards prioritizing mental health is good. i have not had much experience with individual services,satisfied,satisfied
236,"the services are good, but it can take a really long time to get an appointment",mixed,mixed
237,"counseling services are offered by my college, but only a certain amount of therapy sessions are provided",mixed,dissatisfied
238,just communication. i am glad that the campus does tell us where and how to review counseling if needed. ,satisfied,satisfied
239,"ithink the staff are trying their best, but we need more staff.",mixed,mixed
240,"uf has a “u matter we care” that works well, but it takes a long time to get in ",mixed,mixed
241,the phone hotlines are very beneficial. i think doing more outreach in classes is important ,mixed,mixed
242,group therapy is working well. more individual appointments should be allotted to students,mixed,mixed
243,they are good at advertising options but the counselors just listen and don’t really provide solutions ,dissatisfied,mixed
244,their mental health center is alright as a whole but it needs more diversity ,mixed,mixed
245,"it is easy to get in contact with mental health services, but recently when i was going through a little crisis i called and did not get much help and it seemed like they got anxious and didn’t know what to do or say and kind of went super textbook with responding to me like explaining to me how anxiety works and i was like i know i have it and just not really helping. another time freshman year i went to caps for help finding a therapist and they really didn’t give me many options that worked with my insurance so i took matters into my own hands and went through my insurance which was way easier and i found so many options",dissatisfied,dissatisfied
246,general counseling is working well but not everyone reaches out so they need to make bigger emphasis on how and who to reach out snd establish meetings ,mixed,mixed
247,the activities and services provided by the mental health union run by students and the student wellness center are working great.,satisfied,satisfied
248,"i haven't really tried to access mental health services, so i wouldn't know.",neutral,neutral
249,"counselors on campus are lacking. my college needs more counselors and more training i feel for the counselors. i have only one experience with mental health services but my therapist from the student health center was demeaning, not helpful, and very cynical with my situation. it felt like i wasn't being believed.",dissatisfied,dissatisfied
250,the new physical fitness center greatly helps mental health by providing group workout sessions that allow for exercise to benefit the body and mind while also getting human interaction,satisfied,satisfied
251,"counselors on campus are not experienced in the field. they are grad students who are not qualified to address extreme trauma such as sexual assault, domestic violence, and homelessness. i am also not comfortable with group/individual sessions being recorded and this have affected my ability to open up. there needs to be resources for long term therapy and better recommendations for therapists off campus. for context, i recieved no help in finding a therapist off campus. there also needs to be flexible hours on weekends and evenings as students have classes during the day. ",dissatisfied,dissatisfied
252,"i attempted to get on campus counseling and everyone i spoke with refused to use my preferred name no matter how many times i corrected them. they all said they would write it down and put it in my file, but then use the wrong name the next time. i quit the counseling before my first appointment.",dissatisfied,dissatisfied
253,i haven’t tried the counselling services at asu but i’ve heard from others that at asu it’s not good ,dissatisfied,dissatisfied
254,"i'm not really sure, having not needed to use said services myself and relying on outside therapy in times of crisis.",neutral,neutral
255,"wellness services are good, there should be a service where people reach out to students",mixed,mixed
256,i think having events focused on wellness including fun ones like dog therapy are useful. the mental health counselors can help sometimes but more resources and consuleors should be available. ,mixed,mixed
257,i personally have not used the mental health facilities on campus because they have a poor reputation ,dissatisfied,dissatisfied
258,the only thing that works well are the handful of mental health professionals who actual care about the students and know what they're doing,satisfied,dissatisfied
259,"caps and accessibility center are great, but i know people that got stuck on waitlists for ages",mixed,mixed
260,"i have only utilized caps as a resource. i believe this has worked well due to how much i love my counselor. however, it took a while to get to her. before this, i was placed with a counselor (who was a man when i asked for it not to be) who asked extremely invasive questions and was very misunderstanding. it warded me off from caps. i’ve also heard other people caps takes way too long to get back to them and doesn’t have enough room.",dissatisfied,dissatisfied
261,it's nice that it's pretty easy to schedule appointments but sometimes they aren't available,mixed,mixed
262,i haven't used/not familiar with mental health services provided by the school.,neutral,neutral
263,"the college doesn’t seem to promote it’s mental health facilities, so i don’t know enough about them to say anything good",dissatisfied,dissatisfied
264,i think more accessibility for free therapy sessions would be incredibly helpful. the free online meditation sessions see like a great opportunity and helpful resource. ,mixed,mixed
265,i don’t even know what mental health services are provided by my college,neutral,dissatisfied
266,counseling and psychological services—that's the main program for mental health and any sort of need of the student to use.,satisfied,satisfied
267,none. they need to have an easier and anonymous process to talk to counselors,dissatisfied,dissatisfied
268,campus health is easily accessible and i do believe it is covered by student insurance. there should be a 24/7 location or hotline to contact when needed and the off campus resources need to be expanded. everything just needs to be talked about more frequently as well. ,mixed,mixed
269,i like the counseling sessions where you speak with another student who is on campus,satisfied,satisfied
270,in-person counseling needs work but i've heard that telecouseling has worked well,mixed,mixed
271,i have not used any mental health or wellness services from the college.,neutral,neutral
272,"i think that some of the services largely run by students themselves (ie ears for peers, a student-run hotline) are very successful, and one of the greatest successes at tufts has been allowing them to exist. the actual resources offered by the university aren’t so successful, based on accounts of peers’ experiences, such that i have largely avoided them and have no firsthand experience.",dissatisfied,mixed
273,"if you can get into goddard for therapy, you’re golden. the wait to get into it though is ridiculous.",mixed,mixed
274,the nutritionist at the student health and wellness center used to provide me with a good support for my poor relationship with food and body image. ,satisfied,satisfied
275,the counseling center is unable to meet students regularly for counseling. it is only effective for students in crisis.,dissatisfied,dissatisfied
276,i think more attention should be brought to mental health and wellness in general (ex. how to manage stress),dissatisfied,dissatisfied
277,just more coverage and talk about mental health in order to decrease stigmatization.,dissatisfied,dissatisfied
278,"i feel that our college does well in getting the news out there when it comes to counseling on campus but i have experienced my counseling getting interrupted and stopped because for whatever reason the person couldn't do it anymore. i had to change to another staff member but at that point i decided not to anymore.
",mixed,dissatisfied
279,the speed with which they respond to requests needs to be improvef,dissatisfied,dissatisfied
280,"i don’t know, i’m an online student  who hasn’t utilized the services. ",neutral,neutral
281,"services are offered, however many of the counselors are temporary and apparently unhelpful",dissatisfied,dissatisfied
282,i would say the access to help during the day is beneficial however there needs to be 24 hour help,mixed,mixed
283,i think there should be a way to see the same mental health counselor more consistently,dissatisfied,dissatisfied
284,i believe that the concealing is working very well on my campus however showing students how to use it and why it is important to use it is an aspect that needs attention,mixed,mixed
285,i think the aspects that need more attention are depression and grieving,dissatisfied,dissatisfied
286,"i haven’t implemented most of the mental health resources, but i’d hazard a guess that, like in all other areas, emory could stand to strengthen its communication skills in regards to mental health.",dissatisfied,dissatisfied
287,"medical care and pharmacy services are good, but mental health is inaccessible and has bad rep ",dissatisfied,mixed
288,"caps needs to add an option for students to schedule appointments online, not just over phone. i have friends who struggle with phone anxiety that would greatly benefit from counseling services, but cannot make the phone call to set up an appointment. ",dissatisfied,dissatisfied
289,"i have not utilized the campus health or wellness services because i have my own resources that i consider more private. as an online student, i don't feel i have the same access that on-campus students enjoy.",dissatisfied,dissatisfied
290,i have a success counselor from the college who's really good at recommending both on and off campus services when a problem is beyond her expertise. she's very open ,satisfied,satisfied
291,"there are many good wellness meetings and events. and there is good communication around east to access people to talk to, peers or therapists. however, the on campus therapists cannot do much and they don’t make it clear just how little they can do. e.g. can’t even diagnose adhd",mixed,mixed
292,"yes, but they don't advertise their services well enough and the one time i tried using it they ghosted me so now im hesitant to go back",dissatisfied,dissatisfied
293,the school is very open about the resources for counseling that are available.,satisfied,satisfied
294,"campus needs more people to provide more long term services. if you want individual attention, you only get it for a semester, so it would work better if there were more staff.",dissatisfied,dissatisfied
295,i think the main counseling service is helpful when you are able to get an appointment. i was on the waitlist for over a month and i know many other students have been waiting as well. i have been referred to a psychiatrist and there's a waiting list for that too. mental health is taken very seriously here but there are just not enough counselors for all the students. so there needs to be somewhere for someone to go when they are on the waiting list would be helpful. even like a peer counseling service would be great. my high school had one and people used that often.,dissatisfied,dissatisfied
296,"as mentioned, i've not taken much of my opportunities to use the wellness services on campus, but from what i've heard an expansion of one-on-one counseling might be useful.",dissatisfied,dissatisfied
297,"mental health and wellness programs based in a college should be more practical. students need help finishing their degrees, that's the biggest stressor from outside and inside their lives.",dissatisfied,dissatisfied
298,"i think they do work well, i just wish there wasn't a limit on how many therapy appointments you can get in a semester",mixed,mixed
299,student life disability services and counseling and consultation services have been really supportive and done well in helping those in need of mental health and wellness services. i think campus needs more available psychiatrists and group counseling to help those that need medication and benefit from therapy in small groups. ,mixed,mixed
300,"cmhc is pretty good, but it seems confusing to a student who’s never used it.",mixed,mixed
301,my roommate uses the free therapy here and says it works well. i personally have not used many resources provided by the university in terms of mental health. ,satisfied,neutral
302,the wellness counseling is spectacular but please give them a raise and expand the staff.  i had to wait a month to get help sometimes.,dissatisfied,mixed
303,i think my actual success coach has been helping. but the resources or knowledge of them need to be talked about more,mixed,mixed
304,"my college has counseling, support groups, psychiatry. i have been to counseling and psychiatry at my college. my psychiatrist was amazing but they recently no longer take my insurance. the counseling was not something i would recommend to others. it is limited to short term surface level issues and nothing else. i was referred to go off campus but not given any resources. ",dissatisfied,dissatisfied
305,i don’t know as i’ve never used any of the wellness services provided.,neutral,neutral
306,counseling services work well for those who are able to get appointments.,mixed,mixed
307,"not sure, i haven’t sought any resources from the university in this regard. ",neutral,neutral
308,can easily schedule an appointment but need to wait a month for it.,mixed,mixed
309,"telehealth is easily accessible. but i hope there’s more information on mental health and how to handle it whether it would be you or your friends. also, more information on how to get therapy.",dissatisfied,mixed
310,"i haven't really accessed the mental health/wellness services because the only ones i really know about are counseling. that costs money and i can already hardly afford college as is, so i never sought it out. but in terms of what may need more attention, i feel that students could benefit from boosting their self-worth/self-respect. i'm not sure what could be implemented to do that though.",dissatisfied,dissatisfied
311,"the quality of the services have been well but there needs to be more specialists available, especially in the resource centers on campus.",mixed,mixed
312,i do not currently use mental health services provided by my college. maybe if i heard more about it i would. ,dissatisfied,"the student's response indicates they do not currently use the services due to a lack of awareness (""maybe if i heard more about it i would""). this directly addresses the ""what aspects need more attention?"" part of the question by identifying a need for better communication or promotion of services. this constitutes a suggestion for enhancement regarding the college's outreach efforts, implicitly expressing a form of dissatisfaction with the current level of awareness. since the entire response points to an area needing improvement and shows no satisfaction, it falls under the ""dissatisfied"" category.

**dissatisfied**"
313,it’s good that we have psychologists but we need more staff with diverse identities and who can diagnose mental health conditions.,dissatisfied,dissatisfied
314,i am not sure as i have not used the mental health services offered at my school,neutral,neutral
315,caps can be an excellent resource to use but experiences can vary from person to person,neutral,mixed
316,not very much. have heard from many people that the caps therapists are not helpful at all,dissatisfied,dissatisfied
317,more attention needs to be paid to the connection between disabilities office and mental health,dissatisfied,dissatisfied
318,i feel like the ability to talk to a counselor through the campus whenever you need it is a good resource. i wish that there was a psychiatric professional available on campus.,mixed,mixed
319,in my opinions i don’t think any of the asu offered wellness services work. they are never really able to help students. i think the entire department needs to be reevaluated and help.,dissatisfied,dissatisfied
320,i think that the mental health services available are enough for me ,satisfied,satisfied
321,peer counseling services are nice to have. we need more access to therapy.,mixed,mixed
322,we have a lot of focus toward mental health related to school stress but i feel that more focus should be added to general life stress.,mixed,mixed
323,"i like the service of in-person counseling at the tang center, but i wish i was able to get more frequent visits rather than every month",mixed,mixed
324,provided counseling but can only go once a month for a maximum of 6 months really sucks for people that need more help ,dissatisfied,dissatisfied
325,"i haven't utilized the mental health services but i think that we should have more indirect services that support mental health. it can be less intimidating for students to go out to a mental health program that's beneficial to them than seeking a guidance counselor directly from my own personal experience. if there are resources, maybe they need a way to promote these better? a suggestion i have is to reach out to advisors of each college and ask for them to send out emails/announcements about these events.",dissatisfied,dissatisfied
326,"one-on-one therapy talks 

aspects of mental health and wellness that need more attention would probably be more of a psychiatrist on campus that can diagnose if someone has any sort of disorder. ",mixed,mixed
327,"to be totally honest, i’ve heard nothing but negative things about the professionalism and effectiveness of ut mental health services.",dissatisfied,dissatisfied
328,"i have not yet taken advantage of any mental health or wellness services provided by my college. however, based on the things that i've heard from others, i would say that these services should be expanded. for example, more counselors and a more helpful hotline should be made available to students.",dissatisfied,dissatisfied
329,"the online services seem to be helpful from what i’ve heard, but it might be good to have a more diverse staff for it. ",mixed,mixed
330,i have heard telehealth has been good because it’s easy to get an appointment quickly. ,satisfied,satisfied
331,"i think the short-term sessions are great, but the fact that it can take months to get a consultation before starting to talk to someone is ridiculous. a person’s mental state could severely deteriorate before they’re able to see someone on campus.",dissatisfied,dissatisfied
332,i do not know how the services function as i have never required them.,neutral,neutral
333,timely md was a great addition. just all psychiatry as a whole. students should be able to get in to see someone immediately. mental health isn't something that can wait a couple of months. ,mixed,mixed